Timestamp,Prediction,Probability
2025-04-17 01:20:22,Tomat Masih Segar,0.8853
2025-04-17 01:20:22,Tomat Masih Segar,0.8966
2025-04-17 01:20:23,Tomat Masih Segar,0.8821
2025-04-17 01:20:23,Tomat Masih Segar,0.8614
2025-04-17 01:20:23,Tomat Masih Segar,0.8223
2025-04-17 01:20:24,Tomat Masih Segar,0.8809
2025-04-17 01:20:24,Tomat Masih Segar,0.9057
2025-04-17 01:20:24,Tomat Masih Segar,0.8853
2025-04-17 01:20:25,Tomat Masih Segar,0.8876
2025-04-17 01:20:25,Tomat Masih Segar,0.8713
2025-04-17 01:20:26,Tomat Masih Segar,0.8946
2025-04-17 01:20:26,Tomat Sudah Membusuk,0.9805
2025-04-17 01:20:27,Tomat Masih Segar,0.9550
2025-04-17 01:20:27,Tomat Masih Segar,0.9486
2025-04-17 01:20:27,Tomat Masih Segar,0.8994
2025-04-17 01:20:28,Tomat Masih Segar,0.9425
2025-04-17 01:20:28,Tomat Masih Segar,0.9325
2025-04-17 01:20:28,Tomat Masih Segar,0.9556
2025-04-17 01:20:29,Tomat Masih Segar,0.9531
2025-04-17 01:20:29,Tomat Masih Segar,0.9492
2025-04-17 01:20:29,Tomat Masih Segar,0.9421
2025-04-17 01:20:30,Tomat Masih Segar,0.9343
2025-04-17 01:20:30,Tomat Masih Segar,0.9371
2025-04-17 01:20:30,Tomat Masih Segar,0.9614
2025-04-17 01:20:31,Tomat Masih Segar,0.9612
2025-04-17 01:20:31,Tomat Masih Segar,0.9291
2025-04-17 01:20:31,Tomat Masih Segar,0.9468
2025-04-17 01:20:32,Tomat Masih Segar,0.9634
2025-04-17 01:20:32,Tomat Masih Segar,0.9545
2025-04-17 01:20:32,Tomat Masih Segar,0.9604
2025-04-17 01:20:33,Tomat Masih Segar,0.9649
2025-04-17 01:20:33,Tomat Masih Segar,0.9635
2025-04-17 01:20:33,Tomat Masih Segar,0.9483
2025-04-17 01:20:33,Tomat Masih Segar,0.9396
